team,qualification,appearances,best_perfomance,fifa_Rank
Morocco,Hosts /Group Bwinners,20th,Champions(1976),Hosts /Group Bwinners
Burkina Faso,Group Lrunners-up,14th,Runners-up(2013),Group Lrunners-up
Cameroon,Group Jwinners,22nd,"Champions(1984,1988,2000,2002,2017)",Group Jwinners
Algeria,Group Ewinners,21st,"Champions(1990,2019)",Group Ewinners
DR Congo,Group Hwinners,21st,"Champions(1968,1974)",Group Hwinners
Senegal,Group Lwinners,18th,Champions(2021),Group Lwinners
Egypt,Group Cwinners,27th,"Champions(1957,1959,1986,1998,2006,2008,2010)",Group Cwinners
Angola,Group Fwinners,10th,"Quarter-finalists(2008,2010,2023)",Group Fwinners
Equatorial Guinea,Group Erunners-up,5th,Fourth place(2015),Group Erunners-up
Ivory Coast,Group Grunners-up,26th,"Champions(1992,2015,2023)",Group Grunners-up
Gabon,Group Brunners-up,9th,"Quarter-finalists(1996,2012)",Group Brunners-up
Uganda,Group Krunners-up,8th,Runners-up(1978),Group Krunners-up
South Africa,Group Kwinners,12th,Champions(1996),Group Kwinners
Tunisia,Group Arunners-up,22nd,Champions(2004),Group Arunners-up
Nigeria,Group Dwinners,21st,"Champions(1980,1994,2013)",Group Dwinners
Mali,Group Iwinners,14th,Runners-up(1972),Group Iwinners
Zambia,Group Gwinners,19th,Champions(2012),Group Gwinners
Zimbabwe,Group Jrunners-up,6th,"Group stage(2004,2006,2017,2019,2021)",Group Jrunners-up
Comoros,Group Awinners,2nd,Round of 16(2021),Group Awinners
Sudan,Group Frunners-up,10th,Champions(1970),Group Frunners-up
Benin,Group Drunners-up,5th,Quarter-finalists(2019),Group Drunners-up
Tanzania,Group Hrunners-up,4th,"Group stage(1980,2019,2023)",Group Hrunners-up
Botswana,Group Crunners-up,2nd,Group stage(2012),Group Crunners-up
Mozambique,Group Irunners-up,6th,"Group stage(1986,1996,1998,2010,2023)",Group Irunners-up
